Accession_OD,Pvalue_OD
Q8TDY8,0.333249116
Q8TE99,0.380321525
Q8TER0,0.419266655
Q8TEU8,0.079407963
Q8WVN6,0.079407963
Q8WVV4,0.079407963
Q8WWA1,0.195763682
Q8WWU5,0.079407963
Q8WWV6,0.195763682
Q8WWY7,0.195763682
Q8WWZ8,0.582734353
Q8WXX5,0.079407963
Q8WZ75,0.582734353
Q8WZA1,0.238155547
Q92484,0.467104484
Q92485,0.144422986
Q92496,0.51745692
Q92520,0.493844038
Q92597,0.305571587
Q92686,0.238155547
Q92692,0.144422986
Q92743,0.144422986
Q92820,0.894179744
Q92823,0.597769477
Q92854,0.144422986
Q92859,0.727480077
Q92876,0.144422986
Q92896,0.079407963
Q92954,0.905085183
Q92956,0.079407963
Q93063,0.400645254
Q93070,0.274224549
Q969H8,0.195763682
Q969T7,0.94347359
Q96AP7,0.238155547
Q96AQ7,0.333249116
Q96B86,0.144422986
Q96BZ4,0.305571587
Q96C23,0.144422986
Q96CN7,0.195763682
Q96D03,0.380321525
Q96DR8,0.079407963
Q96EE4,0.079407963
Q96EH3,0.079407963
Q96F07,0.574708476
Q96FE7,0.144422986
Q96FQ6,0.144422986
Q96FW1,0.144422986
Q96G03,0.274224549
Q96H15,0.144422986
Q96HC4,0.079407963
Q96HD1,0.333249116
Q96HE9,0.506000452
Q96IU4,0.144422986
Q96IY4,0.950689476
Q96J42,0.144422986
Q96JA1,0.079407963
Q96KG7,0.380321525
Q96KN2,0.945201576
Q96NZ9,0.238155547
Q96P31,0.274224549
Q96P63,0.480909357
Q96PD5,0.97204578
Q96QA5,0.144422986
Q96QU8,0.144422986
Q96RD9,0.357988835
Q96S53,0.079407963
Q96S96,0.727480077
Q99435,0.238155547
Q99436,0.079407963
Q99439,0.195763682
Q99460,0.079407963
Q99466,0.144422986
Q99497,0.611601867
Q99574,0.079407963
Q99650,0.557501863
Q99715,0.436427189
Q99733,0.195763682
Q99784,0.744491151
Q99969,0.538530047
Q99972,0.528280715
Q99983,0.333249116
Q9BQ51,0.333249116
Q9BQI7,0.195763682
Q9BQS7,0.274224549
Q9BR76,0.079407963
Q9BRA2,0.195763682
Q9BRF8,0.079407963
Q9BRK5,0.144422986
Q9BS26,0.238155547
